FactDate,LocationID,Weather,HiTemp,LoTemp,LocalEvent
2024-01-05,2,Cloudy,41,27,None
2024-01-06,2,Sunny,43,29,None
2024-01-07,2,Sunny,45,38,None
2024-01-08,2,Sunny,43,24,None
2024-01-09,2,Rain,55,46,None
2024-01-10,2,Sunny,73,62,None
2024-01-11,2,Cold,67,51,None
2024-01-12,2,Rain,62,51,None
2024-01-13,2,Cloudy,70,63,Concert
2024-01-14,2,Cold,54,46,None
2024-01-15,2,Cold,42,28,None
2024-01-16,2,Cloudy,42,26,None
2024-01-17,2,Sunny,39,27,Game Day
2024-01-18,2,Cloudy,56,50,None
2024-01-19,2,Cold,46,29,Concert
2024-01-20,2,Rain,57,42,None
2024-01-21,2,Rain,46,26,None
2024-01-22,2,Sunny,35,26,None
2024-01-23,2,Rain,66,59,None
2024-01-24,2,Cold,72,59,None
2024-01-25,2,Rain,62,45,None
2024-01-26,2,Warm,71,59,None
2024-01-27,2,Sunny,58,50,None
2024-01-28,2,Rain,62,43,None
2024-01-29,2,Cold,48,32,None
2024-01-30,2,Warm,53,44,None
2024-01-31,2,Cloudy,63,56,None
2024-02-01,2,Cold,60,51,None
2024-02-02,2,Rain,60,44,Game Day
2024-02-03,2,Sunny,65,60,None
2024-02-04,2,Sunny,53,40,None
2024-02-05,2,Cloudy,35,18,None
2024-02-06,2,Cold,46,33,Concert
2024-02-07,2,Warm,63,55,None
2024-02-08,2,Sunny,75,57,None
2024-02-09,2,Warm,38,25,None
2024-02-10,2,Sunny,66,57,None
2024-02-11,2,Sunny,65,47,None
2024-02-12,2,Warm,42,34,None
2024-02-13,2,Cloudy,43,31,None
2024-02-14,2,Cloudy,46,36,None
2024-02-15,2,Rain,35,22,None
2024-02-16,2,Cloudy,68,57,None
2024-02-17,2,Warm,72,58,Game Day
2024-02-18,2,Sunny,37,24,None
2024-02-19,2,Sunny,49,33,None
2024-02-20,2,Sunny,42,30,None
2024-02-21,2,Sunny,55,44,None
2024-02-22,2,Cold,44,34,None
2024-02-23,2,Warm,72,63,None
2024-02-24,2,Sunny,62,48,None
2024-02-25,2,Rain,66,60,None
2024-02-26,2,Cold,68,56,Concert
2024-02-27,2,Sunny,39,34,None
2024-02-28,2,Sunny,74,60,None
2024-02-29,2,Rain,50,36,Game Day
2024-03-01,2,Cloudy,67,59,None
2024-03-02,2,Rain,53,33,None
2024-03-03,2,Cold,53,44,None
2024-03-04,2,Cloudy,40,28,Farmers Market
2024-03-05,2,Rain,66,61,None
2024-03-06,2,Cloudy,64,56,None
2024-03-07,2,Sunny,49,30,None
2024-03-08,2,Cloudy,60,55,None
2024-03-09,2,Rain,70,55,None
2024-03-10,2,Cold,58,44,None
2024-03-11,2,Sunny,69,56,None
2024-03-12,2,Sunny,61,43,None
2024-03-13,2,Sunny,54,38,None
2024-03-14,2,Warm,73,55,Farmers Market
2024-03-15,2,Sunny,59,44,None
2024-03-16,2,Cloudy,49,30,None
2024-03-17,2,Rain,63,57,Game Day
2024-03-18,2,Cloudy,63,45,Farmers Market
2024-03-19,2,Cold,70,63,None
2024-03-20,2,Warm,38,29,None
2024-03-21,2,Sunny,67,54,None
2024-03-22,2,Cold,74,64,None
2024-03-23,2,Cold,53,40,None
2024-03-24,2,Cold,46,31,None
2024-03-25,2,Sunny,69,55,None
2024-03-26,2,Cloudy,44,31,None
2024-03-27,2,Rain,67,62,None
2024-03-28,2,Rain,40,21,None
2024-03-29,2,Rain,42,27,None
2024-03-30,2,Cold,73,65,None
2024-03-31,2,Rain,55,36,None
2024-04-01,2,Warm,36,19,None
2024-01-01,3,Cold,71,54,Game Day
2024-01-02,3,Cloudy,58,39,Farmers Market
2024-01-03,3,Cloudy,44,29,None
2024-01-04,3,Rain,57,47,None
2024-01-05,3,Sunny,55,46,None
2024-01-06,3,Cloudy,37,24,Farmers Market
2024-01-07,3,Warm,62,45,None
2024-01-08,3,Warm,73,66,None
2024-01-09,3,Sunny,66,52,None
2024-01-10,3,Warm,43,34,Farmers Market
2024-01-11,3,Cold,64,54,None
2024-01-12,3,Rain,50,40,None
2024-01-13,3,Cold,73,62,None
2024-01-14,3,Sunny,60,48,None
2024-01-15,3,Rain,37,26,None
2024-01-16,3,Cloudy,72,62,None
2024-01-17,3,Rain,69,53,Farmers Market
2024-01-18,3,Sunny,61,53,None
2024-01-19,3,Sunny,41,29,None
2024-01-20,3,Cloudy,58,46,None
2024-01-21,3,Cold,40,34,Concert
2024-01-22,3,Sunny,46,31,None
2024-01-23,3,Cold,44,34,None
2024-01-24,3,Cold,52,32,Concert
2024-01-25,3,Rain,57,43,Game Day
2024-01-26,3,Warm,74,65,None
2024-01-27,3,Rain,57,46,None
2024-01-28,3,Cloudy,40,23,None
2024-01-29,3,Cold,64,57,None
2024-01-30,3,Cold,53,34,None
2024-01-31,3,Cloudy,63,58,None
2024-02-01,3,Sunny,74,60,None
2024-02-02,3,Rain,47,39,None
2024-02-03,3,Cold,66,48,None
2024-02-04,3,Cold,56,50,None
2024-02-05,3,Cold,61,54,None
2024-02-06,3,Warm,45,38,None
2024-02-07,3,Rain,65,59,None
2024-02-08,3,Sunny,74,68,None
2024-02-09,3,Cloudy,39,31,None
2024-02-10,3,Warm,63,58,None
2024-02-11,3,Cold,75,57,None
2024-02-12,3,Cloudy,43,34,None
2024-02-13,3,Cold,42,26,None
2024-02-14,3,Sunny,43,26,None
2024-02-15,3,Warm,53,37,None
2024-02-16,3,Cold,40,33,None
2024-02-17,3,Cloudy,73,59,None
2024-02-18,3,Sunny,36,24,None
2024-02-19,3,Rain,50,41,None
2024-02-20,3,Sunny,48,39,None
2024-02-21,3,Rain,73,56,None
2024-02-22,3,Cloudy,43,23,None
2024-02-23,3,Warm,51,43,None
2024-02-24,3,Warm,47,27,None
2024-02-25,3,Warm,39,24,None
2024-02-26,3,Warm,43,37,Game Day
2024-02-27,3,Sunny,59,43,None
2024-02-28,3,Cold,60,46,None
2024-02-29,3,Cold,49,33,Farmers Market
2024-03-01,3,Cold,46,33,None
2024-03-02,3,Rain,49,37,None
2024-03-03,3,Rain,60,45,None
2024-03-04,3,Cold,74,54,None
2024-03-05,3,Rain,68,49,None
2024-03-06,3,Warm,62,52,None
2024-03-07,3,Warm,53,37,None
2024-03-08,3,Sunny,54,36,None
2024-03-09,3,Rain,35,17,None
2024-03-10,3,Warm,61,46,None
2024-03-11,3,Rain,42,33,None
2024-03-12,3,Sunny,61,52,None
2024-03-13,3,Cold,66,56,None
2024-03-14,3,Cloudy,55,50,None
2024-03-15,3,Warm,48,35,None
2024-03-16,3,Rain,43,36,None
2024-03-17,3,Sunny,54,36,None
2024-03-18,3,Rain,35,25,None
2024-03-19,3,Cloudy,53,33,None
2024-03-20,3,Sunny,53,37,None
2024-03-21,3,Warm,64,55,None
2024-03-22,3,Warm,53,47,None
2024-03-23,3,Cloudy,49,40,Game Day
2024-03-24,3,Warm,44,32,None
2024-03-25,3,Cloudy,38,25,None
2024-03-26,3,Cold,66,49,None
2024-03-27,3,Cold,35,18,None
2024-03-28,3,Cloudy,43,25,None
2024-03-29,3,Sunny,39,30,None
2024-03-30,3,Cloudy,36,30,None
2024-03-31,3,Warm,53,40,None
2024-04-01,3,Rain,69,58,None
