CustomerID,CampaignID,Variant,AssignedAt
195,101,A,2024-01-26 10:09:19
196,102,B,2024-03-12 13:25:32
198,102,B,2024-01-27 18:40:39
199,101,A,2024-02-22 15:29:33
200,101,B,2024-03-26 06:59:02
201,101,B,2024-03-14 07:19:13
202,101,A,2024-02-20 10:26:46
205,102,A,2024-02-26 00:11:31
211,101,B,2024-01-04 23:33:34
212,102,B,2024-02-09 23:47:26
213,102,B,2024-03-28 07:48:46
215,101,A,2024-01-21 12:18:15
217,102,A,2024-02-23 04:55:03
221,101,B,2024-03-29 11:18:25
222,102,B,2024-02-19 07:55:27
224,102,B,2024-03-06 15:46:59
225,102,A,2024-02-25 14:21:01
228,102,A,2024-03-13 00:43:52
229,101,B,2024-03-23 08:21:26
230,102,B,2024-01-06 16:44:26
232,102,B,2024-01-03 21:17:53
233,101,A,2024-02-09 01:14:18
236,102,A,2024-02-16 01:49:12
238,101,A,2024-02-17 15:02:11
239,102,A,2024-03-16 00:19:24
240,102,B,2024-03-12 14:35:14
246,101,B,2024-02-29 07:08:28
248,102,A,2024-03-26 20:30:49
252,101,A,2024-01-11 23:12:12
253,102,A,2024-01-07 03:59:15
255,101,A,2024-01-27 08:46:03
256,101,A,2024-02-15 05:38:43
259,102,A,2024-02-07 12:17:41
261,101,A,2024-01-10 23:54:18
267,101,A,2024-01-12 02:39:32
269,101,A,2024-02-13 07:52:35
271,101,A,2024-02-20 06:03:07
279,101,A,2024-03-04 05:35:49
283,102,A,2024-03-05 03:06:27
286,102,B,2024-02-24 20:25:18
288,101,B,2024-03-31 23:30:22
289,101,A,2024-03-18 15:41:24
290,102,A,2024-03-22 14:54:27
293,102,A,2024-03-30 14:21:01
296,102,B,2024-03-02 04:30:18
297,102,A,2024-01-18 08:16:03
299,102,A,2024-02-09 14:17:37
300,102,B,2024-02-05 08:43:18
301,102,B,2024-03-20 21:32:17
302,102,A,2024-02-29 05:30:27
303,102,B,2024-01-24 12:33:37
310,102,B,2024-01-25 20:09:19
312,102,B,2024-03-06 23:44:42
315,101,B,2024-03-22 14:16:27
317,101,A,2024-01-12 12:57:20
318,102,B,2024-03-10 03:46:47
320,102,A,2024-02-11 13:03:00
327,101,A,2024-01-14 02:18:46
328,102,A,2024-02-28 17:21:40
331,102,A,2024-01-02 01:49:02
332,101,B,2024-01-18 04:15:18
333,101,A,2024-01-21 21:46:11
335,101,B,2024-02-29 07:32:06
345,101,B,2024-03-27 21:59:49
347,102,A,2024-03-15 05:15:52
348,102,A,2024-01-01 10:17:49
351,102,B,2024-03-31 06:55:54
352,102,A,2024-03-23 19:25:03
358,101,B,2024-02-01 04:54:34
359,102,B,2024-03-03 13:37:28
360,102,A,2024-01-29 19:42:50
362,101,A,2024-01-06 09:35:00
364,102,A,2024-02-25 08:43:36
365,102,B,2024-02-29 02:12:48
370,101,B,2024-01-13 03:30:34
371,102,A,2024-03-04 00:21:40
374,102,A,2024-01-09 06:28:20
375,102,B,2024-02-09 17:07:57
378,101,B,2024-03-23 11:39:04
381,101,B,2024-02-17 15:32:10
386,101,B,2024-03-23 13:37:21
387,101,B,2024-01-20 01:45:36
388,102,B,2024-01-07 00:43:35
390,101,A,2024-03-08 11:29:24
391,101,A,2024-01-21 09:15:32
393,101,B,2024-03-23 16:48:03
395,101,A,2024-03-16 16:54:15
396,102,B,2024-03-25 01:55:46
397,101,A,2024-03-08 04:04:35
405,101,A,2024-03-16 11:27:18
407,101,A,2024-03-30 05:14:04
408,102,A,2024-03-24 20:58:53
414,101,A,2024-02-24 05:02:12
415,101,B,2024-02-03 14:58:35
417,101,B,2024-01-27 08:03:17
419,102,B,2024-01-25 03:55:26
422,102,B,2024-01-01 06:16:29
423,102,A,2024-03-10 14:19:19
424,102,A,2024-02-28 15:54:15
427,101,A,2024-01-18 07:15:42
432,101,B,2024-03-15 15:46:21
438,101,B,2024-03-07 10:59:00
439,102,A,2024-03-05 02:04:40
444,101,A,2024-03-28 12:10:14
445,101,B,2024-03-10 23:39:45
447,102,B,2024-01-30 03:00:23
449,102,B,2024-02-17 07:40:56
453,101,A,2024-02-28 04:54:06
454,102,A,2024-01-09 22:05:07
459,102,B,2024-02-24 10:56:19
463,101,A,2024-02-27 16:07:09
464,102,A,2024-01-15 05:55:44
467,101,B,2024-02-16 08:26:20
473,101,A,2024-03-24 20:12:05
481,101,B,2024-02-07 21:42:05
484,102,B,2024-03-11 19:08:48
485,102,B,2024-01-13 20:12:45
493,101,B,2024-03-30 14:23:39
497,102,B,2024-01-02 14:19:01
500,102,B,2024-03-31 02:41:28
504,101,A,2024-02-06 00:24:36
509,102,A,2024-01-02 01:30:46
511,101,A,2024-01-17 00:15:55
516,102,B,2024-01-16 08:21:07
518,101,B,2024-01-23 10:53:13
520,102,A,2024-02-08 02:24:44
525,101,B,2024-02-03 20:48:08
527,102,B,2024-03-05 05:36:27
531,102,B,2024-03-08 07:56:20
538,102,B,2024-02-03 18:34:27
539,102,B,2024-03-14 23:47:46
540,102,B,2024-01-15 12:08:45
541,102,B,2024-01-02 04:07:44
542,101,B,2024-02-22 14:23:38
545,102,A,2024-03-14 13:43:50
548,102,A,2024-02-05 12:46:39
555,102,A,2024-02-11 02:02:07
558,101,B,2024-02-21 02:58:19
570,101,B,2024-01-06 11:55:16
571,102,B,2024-01-21 18:10:35
577,102,A,2024-03-14 15:21:58
578,101,B,2024-02-26 09:12:50
579,101,A,2024-03-26 13:07:39
582,101,B,2024-03-07 16:02:41
583,101,B,2024-03-23 06:58:10
587,102,A,2024-01-16 22:00:48
590,102,B,2024-01-21 15:37:48
592,102,B,2024-01-29 01:38:31
595,101,B,2024-03-31 18:10:30
596,101,B,2024-02-29 22:26:24
597,102,B,2024-01-17 01:15:54
599,102,B,2024-03-04 06:35:02
605,101,A,2024-02-25 20:23:12
606,102,A,2024-01-23 03:10:09
614,101,B,2024-03-05 01:32:43
615,101,B,2024-02-02 04:12:59
616,102,B,2024-03-22 19:43:44
618,101,B,2024-02-12 08:55:35
619,102,A,2024-01-13 01:40:47
623,102,B,2024-03-01 17:19:36
632,102,B,2024-01-22 04:46:41
633,101,A,2024-02-08 16:23:57
635,101,B,2024-01-01 08:02:12
639,102,A,2024-03-01 13:48:13
642,102,B,2024-03-17 19:21:45
643,101,A,2024-03-28 04:02:29
645,101,B,2024-02-19 03:51:24
647,102,B,2024-03-21 14:59:14
648,102,A,2024-03-19 03:26:13
649,101,A,2024-01-28 10:47:45
651,101,A,2024-01-11 03:28:22
652,102,B,2024-03-22 18:16:00
654,102,B,2024-02-28 03:10:12
657,102,A,2024-02-27 05:06:56
658,102,B,2024-01-02 09:06:08
659,101,A,2024-01-14 21:02:00
661,101,B,2024-01-29 19:07:31
662,102,B,2024-03-27 17:16:46
665,102,A,2024-03-05 03:09:11
669,102,B,2024-01-23 03:13:41
672,102,A,2024-01-14 08:19:47
673,102,B,2024-02-18 07:44:34
682,101,B,2024-01-07 05:37:45
684,101,A,2024-03-29 06:06:29
687,101,B,2024-01-06 14:42:13
689,102,B,2024-03-08 17:21:32
690,101,B,2024-02-08 21:57:51
691,102,B,2024-02-20 00:46:06
694,101,A,2024-01-01 08:38:19
695,102,B,2024-01-15 23:13:52
697,101,A,2024-02-25 17:21:14
698,101,B,2024-02-08 21:52:33
702,101,B,2024-03-07 10:43:47
706,101,B,2024-02-01 07:25:05
708,101,B,2024-02-15 15:47:09
712,102,B,2024-02-20 14:03:48
713,102,A,2024-01-29 06:28:32
728,101,B,2024-03-31 13:56:20
731,102,B,2024-01-02 15:35:10
733,102,A,2024-03-11 21:27:55
734,101,A,2024-03-26 14:58:07
736,101,B,2024-01-06 21:35:18
742,102,B,2024-03-13 11:57:17
744,102,B,2024-02-27 21:39:29
762,102,B,2024-03-13 23:48:08
763,101,A,2024-02-25 15:16:24
764,101,A,2024-01-14 15:03:09
766,101,B,2024-01-27 05:45:45
767,102,B,2024-03-29 11:35:37
770,101,A,2024-02-15 12:01:09
772,101,B,2024-03-05 13:32:02
776,102,B,2024-01-07 11:24:27
778,101,A,2024-03-22 11:14:33
779,101,A,2024-01-24 18:10:30
781,102,B,2024-01-04 00:32:00
785,102,B,2024-01-17 02:13:01
787,102,A,2024-03-08 22:38:16
789,101,A,2024-02-06 01:43:43
791,101,A,2024-01-29 15:10:09
792,102,B,2024-03-20 18:42:18
793,102,A,2024-01-23 20:54:35
795,102,A,2024-02-13 17:17:53
796,101,A,2024-02-15 18:44:09
797,101,B,2024-01-31 17:10:06
798,101,B,2024-01-06 09:37:28
804,101,B,2024-01-07 20:30:46
807,101,A,2024-03-22 20:18:57
808,101,B,2024-02-26 14:55:14
810,102,B,2024-01-17 06:38:55
811,101,B,2024-02-09 21:45:26
812,102,B,2024-02-08 16:47:26
813,102,A,2024-01-12 02:50:32
818,102,A,2024-03-02 08:44:52
820,101,A,2024-01-16 00:26:42
821,102,B,2024-03-23 06:25:57
822,101,A,2024-03-03 23:56:38
824,101,A,2024-03-25 18:24:55
826,102,A,2024-02-27 05:35:14
829,102,B,2024-03-05 05:03:50
830,102,A,2024-02-10 20:21:21
831,101,A,2024-02-02 20:20:27
832,102,A,2024-03-15 08:46:28
836,102,B,2024-02-12 17:13:25
839,101,A,2024-02-20 03:42:52
842,102,A,2024-01-11 03:54:00
848,101,A,2024-03-04 05:52:25
854,101,B,2024-03-23 14:34:54
857,102,A,2024-03-13 04:50:26
858,102,A,2024-01-23 12:52:50
860,102,B,2024-01-26 13:46:37
861,101,A,2024-03-20 13:20:48
863,102,B,2024-01-29 22:46:13
876,102,A,2024-03-25 07:59:38
877,101,A,2024-02-28 09:24:36
879,101,B,2024-01-23 16:08:39
885,101,B,2024-02-24 07:03:18
891,102,B,2024-01-07 16:43:03
892,102,A,2024-02-15 07:10:20
894,101,B,2024-03-09 20:08:02
896,101,B,2024-02-22 21:24:16
899,102,A,2024-02-11 05:36:38
906,102,A,2024-02-09 06:31:43
907,102,A,2024-01-23 03:06:26
910,102,A,2024-03-09 11:18:46
913,102,B,2024-01-03 12:11:21
918,101,A,2024-02-22 01:00:15
920,101,A,2024-03-19 19:52:55
921,101,A,2024-01-12 07:38:22
923,102,B,2024-02-10 08:09:24
935,101,A,2024-01-14 01:14:17
936,102,A,2024-03-07 00:37:47
937,102,A,2024-01-08 00:38:07
940,102,B,2024-02-23 18:16:36
941,101,A,2024-01-10 02:32:25
945,102,A,2024-01-27 15:16:36
948,102,A,2024-02-14 11:02:01
950,102,A,2024-03-25 07:52:36
951,101,A,2024-02-23 08:37:37
953,102,B,2024-03-12 08:49:24
956,102,B,2024-02-04 13:34:30
957,101,B,2024-02-06 11:16:45
962,102,A,2024-01-22 00:05:23
964,102,B,2024-01-01 05:46:44
967,102,B,2024-02-03 07:53:19
968,101,B,2024-03-25 22:54:32
971,102,A,2024-02-25 14:24:04
974,101,B,2024-02-06 16:44:06
976,101,B,2024-03-07 15:58:54
980,102,B,2024-02-21 01:37:46
982,101,B,2024-01-02 08:32:18
984,102,B,2024-02-11 06:08:56
985,102,B,2024-02-18 17:51:27
987,102,A,2024-01-31 07:03:32
994,101,B,2024-01-17 14:03:47
995,102,A,2024-02-23 06:46:46
1000,102,B,2024-02-11 02:13:53
