OrderItemID,OrderID,MenuItemID,Quantity,PriceEach,LineTotal
295,118,2,1,4.5,4.5
296,119,7,1,3.25,3.25
297,119,6,1,2.75,2.75
298,119,3,1,4.25,4.25
299,120,9,1,7.0,7.0
300,120,10,1,4.75,4.75
301,121,9,1,7.0,7.0
302,121,10,1,4.75,4.75
303,122,1,1,3.0,3.0
304,122,4,1,5.25,5.25
305,122,8,1,6.5,6.5
306,123,9,1,7.0,7.0
307,124,6,1,2.75,2.75
308,124,9,1,7.0,7.0
309,124,3,1,4.25,4.25
310,124,8,1,6.5,6.5
311,125,5,1,4.0,4.0
312,126,9,1,7.0,7.0
313,126,7,1,3.25,3.25
314,126,7,1,3.25,3.25
315,127,2,1,4.5,4.5
316,127,5,1,4.0,4.0
317,127,2,1,4.5,4.5
318,128,5,1,4.0,4.0
319,129,2,1,4.5,4.5
320,129,7,1,3.25,3.25
321,130,1,1,3.0,3.0
322,131,6,1,2.75,2.75
323,131,9,1,7.0,7.0
324,131,9,1,7.0,7.0
325,131,5,1,4.0,4.0
326,132,5,1,4.0,4.0
327,132,9,1,7.0,7.0
328,132,2,1,4.5,4.5
329,132,5,1,4.0,4.0
330,133,8,1,6.5,6.5
331,133,9,1,7.0,7.0
332,133,6,1,2.75,2.75
333,133,1,1,3.0,3.0
334,134,5,1,4.0,4.0
335,134,2,1,4.5,4.5
336,135,1,1,3.0,3.0
337,136,3,1,4.25,4.25
338,136,3,1,4.25,4.25
339,136,1,1,3.0,3.0
340,136,9,1,7.0,7.0
341,137,6,1,2.75,2.75
342,137,4,1,5.25,5.25
343,138,10,1,4.75,4.75
344,139,4,1,5.25,5.25
345,139,9,1,7.0,7.0
346,140,5,1,4.0,4.0
347,140,6,1,2.75,2.75
348,140,2,1,4.5,4.5
349,141,5,1,4.0,4.0
350,141,10,1,4.75,4.75
351,142,6,1,2.75,2.75
352,142,10,1,4.75,4.75
353,142,8,1,6.5,6.5
354,142,4,1,5.25,5.25
355,143,7,1,3.25,3.25
356,144,1,1,3.0,3.0
357,144,7,1,3.25,3.25
358,144,5,1,4.0,4.0
359,145,8,1,6.5,6.5
360,145,1,1,3.0,3.0
361,145,3,1,4.25,4.25
362,145,5,1,4.0,4.0
363,146,10,1,4.75,4.75
364,147,10,1,4.75,4.75
365,148,5,1,4.0,4.0
366,148,5,1,4.0,4.0
367,149,8,1,6.5,6.5
368,149,5,1,4.0,4.0
369,149,4,1,5.25,5.25
370,150,2,1,4.5,4.5
371,150,3,1,4.25,4.25
372,151,9,1,7.0,7.0
373,152,5,1,4.0,4.0
374,152,2,1,4.5,4.5
375,152,2,1,4.5,4.5
376,152,3,1,4.25,4.25
377,153,6,1,2.75,2.75
378,153,3,1,4.25,4.25
379,154,3,1,4.25,4.25
380,154,1,1,3.0,3.0
381,154,7,1,3.25,3.25
382,155,8,1,6.5,6.5
383,156,4,1,5.25,5.25
384,157,10,1,4.75,4.75
385,158,4,1,5.25,5.25
386,159,2,1,4.5,4.5
387,159,1,1,3.0,3.0
388,159,8,1,6.5,6.5
389,160,8,1,6.5,6.5
390,160,1,1,3.0,3.0
391,160,7,1,3.25,3.25
392,160,7,1,3.25,3.25
393,161,5,1,4.0,4.0
394,161,8,1,6.5,6.5
395,162,5,1,4.0,4.0
396,163,9,1,7.0,7.0
397,163,1,1,3.0,3.0
398,164,6,1,2.75,2.75
399,164,10,1,4.75,4.75
400,164,9,1,7.0,7.0
401,164,6,1,2.75,2.75
402,165,10,1,4.75,4.75
403,165,4,1,5.25,5.25
404,165,1,1,3.0,3.0
405,166,10,1,4.75,4.75
406,166,4,1,5.25,5.25
407,166,3,1,4.25,4.25
408,167,10,1,4.75,4.75
409,167,7,1,3.25,3.25
410,168,6,1,2.75,2.75
411,168,10,1,4.75,4.75
412,168,1,1,3.0,3.0
413,169,9,1,7.0,7.0
414,169,5,1,4.0,4.0
415,169,3,1,4.25,4.25
416,169,8,1,6.5,6.5
417,170,1,1,3.0,3.0
418,170,9,1,7.0,7.0
419,171,6,1,2.75,2.75
420,171,3,1,4.25,4.25
421,172,2,1,4.5,4.5
422,172,9,1,7.0,7.0
423,173,6,1,2.75,2.75
424,174,8,1,6.5,6.5
425,174,6,1,2.75,2.75
426,174,3,1,4.25,4.25
427,174,9,1,7.0,7.0
428,175,5,1,4.0,4.0
429,175,5,1,4.0,4.0
430,175,3,1,4.25,4.25
431,175,3,1,4.25,4.25
432,176,3,1,4.25,4.25
433,177,3,1,4.25,4.25
434,177,6,1,2.75,2.75
435,177,2,1,4.5,4.5
436,177,4,1,5.25,5.25
437,178,8,1,6.5,6.5
438,178,1,1,3.0,3.0
439,178,5,1,4.0,4.0
440,179,5,1,4.0,4.0
441,179,2,1,4.5,4.5
442,179,1,1,3.0,3.0
443,180,7,1,3.25,3.25
444,180,8,1,6.5,6.5
445,181,8,1,6.5,6.5
446,182,1,1,3.0,3.0
447,182,6,1,2.75,2.75
448,182,5,1,4.0,4.0
449,183,3,1,4.25,4.25
450,183,2,1,4.5,4.5
451,183,9,-1,7.0,7.0
452,183,2,1,4.5,4.5
453,184,10,1,4.75,4.75
454,184,7,1,3.25,3.25
455,185,4,1,5.25,5.25
456,185,7,1,3.25,3.25
457,186,1,1,3.0,3.0
458,187,1,1,3.0,3.0
459,187,6,1,2.75,2.75
460,188,4,1,5.25,5.25
461,188,2,1,4.5,4.5
462,188,1,1,3.0,3.0
463,188,4,1,5.25,5.25
464,189,8,1,6.5,6.5
465,189,8,1,6.5,6.5
466,189,5,1,4.0,4.0
467,189,2,1,4.5,4.5
468,190,8,1,6.5,6.5
469,190,1,1,3.0,3.0
470,191,5,1,4.0,4.0
471,191,10,1,4.75,4.75
472,192,6,1,2.75,2.75
473,193,7,1,3.25,3.25
474,194,5,1,4.0,4.0
475,194,2,1,4.5,4.5
476,194,7,1,3.25,3.25
477,194,1,1,3.0,3.0
478,195,8,1,6.5,6.5
479,196,1,1,3.0,3.0
480,196,7,1,3.25,3.25
481,197,10,1,4.75,4.75
482,197,5,1,4.0,4.0
483,198,9,1,7.0,7.0
484,198,7,1,3.25,3.25
485,198,9,1,7.0,7.0
486,198,6,1,2.75,2.75
487,199,2,1,4.5,4.5
488,199,7,1,3.25,3.25
489,199,3,1,4.25,4.25
490,199,3,1,4.25,4.25
491,200,10,1,4.75,4.75
492,201,8,1,6.5,6.5
493,201,10,1,4.75,4.75
494,201,10,1,4.75,4.75
495,201,8,1,6.5,6.5
496,202,10,1,4.75,4.75
497,202,10,1,4.75,4.75
498,203,1,1,3.0,3.0
499,203,8,1,6.5,6.5
500,204,8,1,6.5,6.5
501,204,2,1,4.5,4.5
502,204,4,1,5.25,5.25
503,205,5,1,4.0,4.0
504,205,7,1,3.25,3.25
505,205,10,1,4.75,4.75
506,206,7,1,3.25,3.25
507,206,8,1,6.5,6.5
508,207,2,1,4.5,4.5
509,207,5,1,4.0,4.0
510,208,3,1,4.25,4.25
511,209,8,1,6.5,6.5
512,210,2,1,4.5,4.5
513,210,1,1,3.0,3.0
514,210,4,1,5.25,5.25
515,210,6,1,2.75,2.75
516,211,3,1,4.25,4.25
517,211,5,1,4.0,4.0
518,211,2,1,4.5,4.5
519,212,10,1,4.75,4.75
520,212,4,1,5.25,5.25
521,213,7,1,3.25,3.25
522,213,9,1,7.0,7.0
523,213,1,1,3.0,3.0
524,214,4,1,5.25,5.25
525,215,7,1,3.25,3.25
526,215,6,1,2.75,2.75
527,215,8,1,6.5,6.5
528,215,5,1,4.0,4.0
529,216,1,1,3.0,3.0
530,217,2,1,4.5,4.5
531,217,8,1,6.5,6.5
532,217,2,1,4.5,4.5
533,218,5,1,4.0,4.0
534,218,5,1,4.0,4.0
535,218,4,1,5.25,5.25
536,219,6,1,2.75,2.75
537,219,3,1,4.25,4.25
538,219,1,1,3.0,3.0
539,219,8,1,6.5,6.5
540,220,6,1,2.75,2.75
541,220,4,1,5.25,5.25
542,221,9,1,7.0,7.0
543,221,5,1,4.0,4.0
544,221,3,1,4.25,4.25
545,222,2,1,4.5,4.5
546,222,8,1,6.5,6.5
547,222,3,1,4.25,4.25
548,223,2,1,4.5,4.5
549,223,4,1,5.25,5.25
550,223,6,1,2.75,2.75
551,224,6,1,2.75,2.75
552,224,5,1,4.0,4.0
553,224,10,1,4.75,4.75
554,225,10,1,4.75,4.75
555,226,9,1,7.0,7.0
556,226,5,1,4.0,4.0
557,226,7,1,3.25,3.25
558,226,1,1,3.0,3.0
559,227,3,1,4.25,4.25
560,227,6,1,2.75,2.75
561,227,3,1,4.25,4.25
562,227,2,1,4.5,4.5
563,228,1,1,3.0,3.0
564,228,1,1,3.0,3.0
565,228,8,1,6.5,6.5
566,229,2,1,4.5,4.5
567,229,3,1,4.25,4.25
568,229,10,1,4.75,4.75
569,229,7,1,3.25,3.25
570,230,7,1,3.25,3.25
571,230,1,1,3.0,3.0
572,230,1,1,3.0,3.0
573,230,9,1,7.0,7.0
574,231,9,1,7.0,7.0
575,231,4,1,5.25,5.25
576,231,1,1,3.0,3.0
577,232,2,1,4.5,4.5
578,232,7,1,3.25,3.25
579,233,1,1,3.0,3.0
580,234,3,1,4.25,4.25
581,234,6,1,2.75,2.75
582,234,8,1,6.5,6.5
583,234,6,1,2.75,2.75
584,235,3,1,4.25,4.25
585,235,4,1,5.25,5.25
586,236,6,1,2.75,2.75
587,237,2,1,4.5,4.5
588,238,7,1,3.25,3.25
589,238,2,1,4.5,4.5
590,238,9,1,7.0,7.0
591,238,5,1,4.0,4.0
592,239,7,1,3.25,3.25
593,239,2,1,4.5,4.5
594,239,9,1,7.0,7.0
595,240,2,1,4.5,4.5
596,240,9,1,7.0,7.0
597,240,10,1,4.75,4.75
598,240,2,1,4.5,4.5
599,241,5,1,4.0,4.0
600,241,3,1,4.25,4.25
601,241,1,1,3.0,3.0
602,241,9,1,7.0,7.0
603,242,4,1,5.25,5.25
604,242,1,1,3.0,3.0
605,242,1,1,3.0,3.0
606,243,9,1,7.0,7.0
607,244,5,1,4.0,4.0
608,244,5,1,4.0,4.0
609,244,8,1,6.5,6.5
610,244,1,1,3.0,3.0
611,245,6,1,2.75,2.75
612,245,7,1,3.25,3.25
613,245,2,1,4.5,4.5
614,246,6,1,2.75,2.75
615,247,7,1,3.25,3.25
616,247,8,1,6.5,6.5
617,247,5,1,4.0,4.0
618,247,7,1,3.25,3.25
619,248,3,1,4.25,4.25
620,249,7,1,3.25,3.25
621,250,10,1,4.75,4.75
622,250,7,1,3.25,3.25
623,251,8,1,6.5,6.5
624,251,8,1,6.5,6.5
625,252,1,1,3.0,3.0
626,252,9,1,7.0,7.0
627,252,10,1,4.75,4.75
628,253,4,1,5.25,5.25
629,253,8,1,6.5,6.5
630,253,6,1,2.75,2.75
631,253,7,1,3.25,3.25
632,254,3,1,4.25,4.25
633,255,4,1,5.25,5.25
634,255,6,1,2.75,2.75
635,255,5,1,4.0,4.0
636,256,4,1,5.25,5.25
637,256,2,1,4.5,4.5
638,256,8,1,6.5,6.5
639,256,8,1,6.5,6.5
640,257,6,1,2.75,2.75
641,257,2,1,4.5,4.5
642,257,8,1,6.5,6.5
643,257,1,1,3.0,3.0
644,258,2,1,4.5,4.5
645,259,6,1,2.75,2.75
646,259,1,1,3.0,3.0
647,259,4,1,5.25,5.25
648,260,8,1,6.5,6.5
649,260,2,1,4.5,4.5
650,260,2,1,4.5,4.5
651,261,5,1,4.0,4.0
652,261,9,1,7.0,7.0
653,261,9,1,7.0,7.0
654,262,2,1,4.5,4.5
655,262,7,1,3.25,3.25
656,263,7,1,3.25,3.25
657,264,8,1,6.5,6.5
658,264,10,1,4.75,4.75
659,264,9,1,7.0,7.0
660,264,3,1,4.25,4.25
661,265,10,1,4.75,4.75
662,265,8,1,6.5,6.5
663,265,9,1,7.0,7.0
664,265,3,1,4.25,4.25
665,266,9,1,7.0,7.0
666,266,7,1,3.25,3.25
667,266,7,1,3.25,3.25
668,267,6,1,2.75,2.75
669,267,5,1,4.0,4.0
670,267,8,1,6.5,6.5
671,267,3,1,4.25,4.25
672,268,4,1,5.25,5.25
673,268,4,1,5.25,5.25
674,269,9,1,7.0,7.0
675,269,9,1,7.0,7.0
676,270,9,1,7.0,7.0
677,270,5,1,4.0,4.0
678,270,7,1,3.25,3.25
679,270,1,1,3.0,3.0
680,271,1,1,3.0,3.0
681,271,1,1,3.0,3.0
682,272,3,1,4.25,4.25
683,272,1,1,3.0,3.0
684,272,5,1,4.0,4.0
685,273,9,1,7.0,7.0
686,273,7,1,3.25,3.25
687,274,7,1,3.25,3.25
688,275,4,1,5.25,5.25
689,275,10,1,4.75,4.75
690,275,8,1,6.5,6.5
691,276,4,1,5.25,5.25
692,276,5,1,4.0,4.0
693,277,1,-1,3.0,3.0
694,277,7,1,3.25,3.25
695,277,5,1,4.0,4.0
696,277,9,1,7.0,7.0
697,278,3,1,4.25,4.25
698,279,10,1,4.75,4.75
699,279,9,1,7.0,7.0
700,279,6,1,2.75,2.75
701,279,2,1,4.5,4.5
702,280,9,1,7.0,7.0
703,280,2,1,4.5,4.5
704,281,6,1,2.75,2.75
705,282,6,1,2.75,2.75
706,282,5,1,4.0,4.0
707,282,4,1,5.25,5.25
708,283,6,1,2.75,2.75
709,284,6,1,2.75,2.75
710,285,1,1,3.0,3.0
711,285,9,1,7.0,7.0
712,285,6,1,2.75,2.75
713,286,5,1,4.0,4.0
714,287,3,1,4.25,4.25
715,288,4,1,5.25,5.25
716,288,7,1,3.25,3.25
717,289,3,1,4.25,4.25
718,290,2,1,4.5,4.5
719,291,7,1,3.25,3.25
720,291,7,1,3.25,3.25
721,291,6,1,2.75,2.75
722,291,1,1,3.0,3.0
723,292,6,1,2.75,2.75
724,293,8,1,6.5,6.5
725,293,7,1,3.25,3.25
726,293,7,1,3.25,3.25
727,294,7,1,3.25,3.25
728,294,9,1,7.0,7.0
729,295,1,1,3.0,3.0
730,295,9,1,7.0,7.0
731,295,9,1,7.0,7.0
732,296,9,1,7.0,7.0
733,296,9,1,7.0,7.0
734,296,2,1,4.5,4.5
735,296,5,1,4.0,4.0
736,297,3,1,4.25,4.25
737,297,3,1,4.25,4.25
738,298,3,1,4.25,4.25
739,299,2,1,4.5,4.5
740,299,5,1,4.0,4.0
741,299,2,1,4.5,4.5
742,300,2,1,4.5,4.5
743,300,5,1,4.0,4.0
744,301,8,1,6.5,6.5
745,301,6,1,2.75,2.75
746,301,10,1,4.75,4.75
747,301,5,1,4.0,4.0
748,302,3,1,4.25,4.25
749,302,1,1,3.0,3.0
750,302,6,1,2.75,2.75
751,302,4,1,5.25,5.25
752,303,6,1,2.75,2.75
753,303,3,1,4.25,4.25
754,303,6,1,2.75,2.75
755,304,3,1,4.25,4.25
756,305,9,1,7.0,7.0
757,305,4,1,5.25,5.25
758,306,1,1,3.0,3.0
759,307,1,1,3.0,3.0
760,307,9,1,7.0,7.0
761,308,6,1,2.75,2.75
762,308,7,1,3.25,3.25
763,309,8,1,6.5,6.5
764,309,9,1,7.0,7.0
765,310,4,1,5.25,5.25
766,311,3,1,4.25,4.25
767,311,10,1,4.75,4.75
768,312,1,1,3.0,3.0
769,312,4,1,5.25,5.25
770,312,8,1,6.5,6.5
771,313,1,1,3.0,3.0
772,313,4,1,5.25,5.25
773,314,1,1,3.0,3.0
774,315,10,1,4.75,4.75
775,315,9,1,7.0,7.0
776,315,10,1,4.75,4.75
777,316,10,1,4.75,4.75
778,316,2,1,4.5,4.5
779,316,9,1,7.0,7.0
780,317,6,1,2.75,2.75
781,317,8,1,6.5,6.5
782,317,8,1,6.5,6.5
783,318,4,1,5.25,5.25
784,318,2,1,4.5,4.5
785,319,3,1,4.25,4.25
786,319,3,1,4.25,4.25
787,320,7,1,3.25,3.25
788,320,6,1,2.75,2.75
789,321,1,1,3.0,3.0
790,321,4,1,5.25,5.25
791,321,1,1,3.0,3.0
792,321,3,1,4.25,4.25
793,322,10,1,4.75,4.75
794,323,9,1,7.0,7.0
795,323,7,1,3.25,3.25
796,324,2,1,4.5,4.5
797,324,4,1,5.25,5.25
798,324,8,1,6.5,6.5
799,325,10,1,4.75,4.75
800,325,3,1,4.25,4.25
801,325,10,1,4.75,4.75
802,325,3,1,4.25,4.25
803,326,6,1,2.75,2.75
804,326,8,1,6.5,6.5
805,327,7,1,3.25,3.25
806,327,3,1,4.25,4.25
807,327,2,1,4.5,4.5
808,327,1,1,3.0,3.0
809,328,10,1,4.75,4.75
810,328,2,1,4.5,4.5
811,329,8,1,6.5,6.5
812,330,9,1,7.0,7.0
813,330,7,1,3.25,3.25
814,330,6,1,2.75,2.75
815,330,1,1,3.0,3.0
816,331,7,1,3.25,3.25
817,332,5,1,4.0,4.0
818,333,1,1,3.0,3.0
819,333,1,1,3.0,3.0
820,334,4,1,5.25,5.25
821,334,6,1,2.75,2.75
822,334,7,1,3.25,3.25
823,334,6,1,2.75,2.75
824,335,10,1,4.75,4.75
825,335,6,1,2.75,2.75
826,335,10,1,4.75,4.75
827,335,5,1,4.0,4.0
828,336,6,1,2.75,2.75
829,336,9,1,7.0,7.0
830,337,7,1,3.25,3.25
831,337,3,1,4.25,4.25
832,337,2,1,4.5,4.5
833,338,4,1,5.25,5.25
834,339,7,1,3.25,3.25
835,339,1,1,3.0,3.0
836,340,2,1,4.5,4.5
837,341,7,1,3.25,3.25
838,342,3,1,4.25,4.25
839,343,1,1,3.0,3.0
840,343,10,1,4.75,4.75
841,344,1,1,3.0,3.0
842,344,6,1,2.75,2.75
843,345,5,1,4.0,4.0
844,346,10,1,4.75,4.75
845,346,4,1,5.25,5.25
846,346,9,1,7.0,7.0
847,346,1,1,3.0,3.0
848,347,5,1,4.0,4.0
849,347,4,1,5.25,5.25
850,347,10,1,4.75,4.75
851,348,7,1,3.25,3.25
852,348,9,1,7.0,7.0
853,349,2,1,4.5,4.5
854,349,9,1,7.0,7.0
855,349,5,1,4.0,4.0
856,350,7,1,3.25,3.25
857,350,10,1,4.75,4.75
858,350,8,1,6.5,6.5
859,350,4,1,5.25,5.25
860,351,8,1,6.5,6.5
861,352,4,1,5.25,5.25
862,352,6,1,2.75,2.75
863,353,4,1,5.25,5.25
864,353,5,1,4.0,4.0
865,353,2,1,4.5,4.5
866,354,9,1,7.0,7.0
867,355,4,1,5.25,5.25
868,355,8,1,6.5,6.5
869,356,4,1,5.25,5.25
870,356,4,1,5.25,5.25
