OrderID,CustomerID,LocationID,PromoID,OrderDate,TotalAmount,PaymentType,OrderTime
64,23,2,NULL,2024-03-22,8.75,Cash,09:06:00
65,24,1,1,2024-01-29,4.75,Card,12:54:00
66,24,2,NULL,2024-03-17,11,Cash,11:38:00
67,24,3,NULL,2024-03-29,16.5,Card,09:37:00
68,24,2,NULL,2024-02-14,7.25,Card,16:30:00
69,25,1,1,2024-03-20,11.25,Cash,10:55:00
70,25,1,NULL,2024-03-04,7,Cash,17:45:00
71,25,2,2,2024-02-12,12.5,App,14:13:00
72,25,3,NULL,2024-03-24,12.75,App,15:50:00
73,26,2,2,2024-03-25,6,Cash,12:41:00
74,26,2,NULL,2024-03-22,11.75,Cash,13:08:00
75,27,3,NULL,2024-03-24,18.25,Cash,07:38:00
76,27,3,NULL,2024-03-25,10.75,Cash,13:53:00
77,28,3,2,2024-03-23,2.75,Cash,13:42:00
78,28,3,NULL,2024-03-29,5.25,App,12:54:00
79,29,3,NULL,2024-03-10,13.5,App,16:26:00
80,29,2,NULL,2024-03-06,17.25,Card,08:09:00
81,29,1,NULL,2024-03-26,16.25,Cash,10:59:00
82,30,2,1,2024-02-18,21.5,Cash,10:28:00
83,30,1,2,2024-03-22,11.5,Cash,08:37:00
84,31,2,NULL,2024-03-07,12.25,App,17:15:00
85,31,3,1,2024-03-14,19.25,Card,11:53:00
86,31,3,2,2024-03-15,19.5,App,10:01:00
87,31,2,NULL,2024-03-26,8.5,Card,13:43:00
88,32,2,2,2024-03-31,4,Card,12:07:00
89,32,3,1,2024-03-31,17.25,App,10:36:00
90,33,1,1,2024-03-06,4.25,App,10:16:00
91,37,3,2,2024-03-13,13.5,Cash,12:57:00
92,37,3,2,2024-03-15,11.25,Card,08:43:00
93,37,3,1,2024-03-28,6.5,Card,16:08:00
94,37,1,2,2024-03-13,22.75,Cash,17:37:00
95,38,1,NULL,2024-03-08,16.25,Cash,14:05:00
96,38,2,2,2024-03-15,4.75,App,14:21:00
97,39,3,2,2024-03-24,7.75,Card,10:47:00
98,39,1,NULL,2024-03-31,17.75,Cash,16:51:00
99,40,1,1,2024-03-29,18.5,Card,12:01:00
100,40,1,1,2024-03-29,16,Card,11:50:00
101,40,3,1,2024-03-23,15.75,Cash,14:04:00
102,40,2,1,2024-03-31,9.5,Card,07:19:00
103,41,3,2,2024-03-03,8.75,Cash,13:34:00
104,42,1,NULL,2024-03-04,20.25,App,14:28:00
105,42,2,NULL,2024-03-08,6.5,App,17:53:00
106,42,3,1,2024-03-22,7,App,07:38:00
107,42,1,NULL,2024-02-28,13.5,Cash,08:27:00
108,43,2,NULL,2024-03-25,4.5,Cash,14:18:00
109,43,2,NULL,2024-03-31,13,Card,12:38:00
110,44,3,1,2024-02-27,8.5,Card,13:20:00
111,45,2,NULL,2024-02-18,3.25,App,14:40:00
112,45,2,NULL,2024-03-15,17.25,App,07:14:00
113,45,1,NULL,2024-03-08,13.25,Card,07:41:00
114,46,1,NULL,2024-03-21,7.75,Cash,09:13:00
115,46,1,1,2024-03-24,11.5,Card,10:59:00
116,46,1,NULL,2024-03-29,7,App,11:25:00
117,46,1,NULL,2024-03-08,15.5,App,11:29:00
118,46,3,NULL,2024-03-13,4.5,Cash,12:38:00
119,46,1,2,2024-01-27,10.25,App,08:23:00
120,46,2,NULL,2024-02-07,11.75,App,13:15:00
121,47,1,1,2024-03-28,11.75,App,10:44:00
122,47,1,2,2024-03-19,14.75,App,10:26:00
123,47,1,2,2024-03-13,7,Card,10:49:00
124,48,2,2,2024-03-21,20.5,Card,14:27:00
125,48,1,NULL,2024-03-31,4,Card,14:28:00
126,48,1,2,2024-03-18,13.5,Card,09:19:00
127,48,2,NULL,2024-03-30,13,Card,11:45:00
128,49,3,2,2024-03-28,4,Cash,07:10:00
129,49,3,NULL,2024-03-30,7.75,Card,07:25:00
130,50,2,NULL,2024-02-10,3,App,07:05:00
131,50,3,NULL,2024-02-18,20.75,Card,08:35:00
132,52,1,1,2024-03-31,19.5,Card,09:21:00
133,52,3,NULL,2024-03-31,19.25,App,17:35:00
134,52,3,1,2024-03-26,8.5,Card,15:15:00
135,53,1,NULL,2024-03-25,3,Card,17:58:00
136,53,1,1,2024-02-07,18.5,Cash,12:55:00
137,53,3,2,2024-03-24,8,App,11:23:00
138,53,3,1,2024-02-24,4.75,Cash,07:10:00
139,53,1,NULL,2024-02-20,12.25,App,13:22:00
140,53,2,2,2024-01-19,11.25,Card,15:43:00
141,53,2,1,2024-03-08,8.75,Card,10:45:00
142,53,2,NULL,2024-03-31,19.25,App,08:45:00
143,53,3,NULL,2024-03-26,3.25,Card,09:13:00
144,54,3,NULL,2024-03-25,10.25,App,11:34:00
145,54,1,NULL,2024-03-19,17.75,App,07:10:00
146,56,3,2,2024-03-18,4.75,Cash,08:23:00
147,56,3,2,2024-02-16,4.75,Card,09:48:00
148,56,2,NULL,2024-02-13,8,App,13:16:00
149,56,2,1,2024-03-08,15.75,App,14:13:00
150,56,1,NULL,2024-02-14,8.75,Card,12:52:00
151,56,2,2,2024-03-21,7,Cash,12:23:00
152,56,1,1,2024-03-12,17.25,Cash,07:29:00
153,56,3,NULL,2024-03-07,7,App,13:30:00
154,58,1,1,2024-03-30,10.5,App,08:27:00
155,58,3,NULL,2024-03-29,6.5,App,08:28:00
156,58,1,NULL,2024-03-25,5.25,Card,11:59:00
157,58,1,1,2024-03-25,4.75,Cash,14:06:00
158,58,2,NULL,2024-03-31,5.25,Card,07:22:00
159,58,2,NULL,2024-03-31,14,Card,12:18:00
160,58,1,2,2024-03-24,16,App,15:29:00
161,60,2,NULL,2024-03-27,10.5,Card,09:17:00
162,60,3,NULL,2024-03-28,4,Cash,14:22:00
163,60,1,NULL,2024-03-28,10,Cash,08:58:00
164,60,3,2,2024-03-28,17.25,Cash,14:32:00
165,60,2,NULL,2024-03-28,13,Card,10:04:00
166,60,2,2,2024-03-31,14.25,Card,15:49:00
167,61,2,NULL,2024-02-18,8,App,11:57:00
168,61,1,NULL,2024-02-29,10.5,Card,08:06:00
169,62,3,NULL,2024-03-29,21.75,Card,11:50:00
170,62,1,NULL,2024-02-06,10,Card,09:45:00
171,62,1,NULL,2024-03-20,7,Cash,17:29:00
172,63,1,NULL,2024-03-14,11.5,Card,13:45:00
173,63,1,2,2024-03-18,2.75,Cash,15:00:00
174,63,2,NULL,2024-03-12,20.5,Card,10:47:00
175,63,1,NULL,2024-03-17,16.5,App,14:11:00
176,63,3,2,2024-02-12,4.25,App,14:00:00
177,63,3,NULL,2024-03-13,16.75,Card,07:08:00
178,63,2,NULL,2024-03-16,13.5,Card,12:03:00
179,63,1,NULL,2024-03-03,11.5,App,07:35:00
180,63,2,2,2024-02-16,9.75,Cash,11:12:00
181,63,2,2,2024-03-19,6.5,App,15:49:00
182,64,2,NULL,2024-01-16,9.75,Card,16:04:00
183,64,1,NULL,2024-01-11,20.25,Cash,14:21:00
184,65,3,2,2024-03-12,8,Card,09:48:00
185,65,1,1,2024-02-10,8.5,Card,08:02:00
186,66,2,NULL,2024-03-22,3,Cash,07:35:00
187,66,3,2,2024-02-25,5.75,App,08:44:00
188,66,2,1,2024-01-18,18,Card,13:06:00
189,67,2,1,2024-03-25,21.5,Card,15:04:00
190,68,2,1,2024-03-24,9.5,Cash,14:47:00
191,68,2,1,2024-03-25,8.75,Cash,08:15:00
192,68,1,NULL,2024-03-22,2.75,App,14:25:00
193,68,3,NULL,2024-03-31,3.25,Cash,10:40:00
194,69,3,NULL,2024-03-25,14.75,Cash,13:32:00
195,69,3,NULL,2024-03-24,6.5,App,14:57:00
196,69,1,NULL,2024-03-08,6.25,Card,09:18:00
197,69,3,NULL,2024-03-03,8.75,Cash,15:47:00
198,69,3,NULL,2024-03-15,20,Card,08:17:00
199,69,3,NULL,2024-03-13,16.25,Cash,09:45:00
200,69,3,NULL,2024-03-27,4.75,App,11:24:00
201,70,2,1,2024-03-29,22.5,Cash,17:21:00
202,70,1,2,2024-02-09,9.5,Cash,09:05:00
203,70,1,1,2024-03-16,9.5,Cash,10:57:00
204,71,2,1,2024-02-22,16.25,Cash,10:12:00
205,71,2,2,2024-02-28,12,App,13:54:00
206,71,1,2,2024-03-24,9.75,Card,11:20:00
207,71,3,NULL,2024-03-29,8.5,Cash,12:07:00
208,71,3,NULL,2024-03-27,4.25,Cash,14:20:00
209,71,1,NULL,2024-03-02,6.5,Card,11:08:00
210,72,2,2,2024-03-30,15.5,Cash,11:06:00
211,73,2,1,2024-02-18,12.75,App,11:55:00
212,73,1,NULL,2024-02-28,10,Cash,13:29:00
213,73,3,NULL,2024-02-22,13.25,Card,19:28:00
214,73,2,NULL,2024-02-01,5.25,Card,13:10:00
215,74,3,1,2024-03-20,16.5,App,16:26:00
216,75,3,2,2024-03-29,3,App,13:33:00
217,76,3,1,2024-03-29,15.5,App,14:50:00
218,76,2,1,2024-03-28,13.25,App,11:02:00
219,76,3,NULL,2024-03-26,16.5,Card,08:47:00
220,77,2,NULL,2024-02-18,8,Cash,10:55:00
221,77,3,2,2024-03-15,15.25,App,15:40:00
222,77,3,NULL,2024-03-30,15.25,App,14:11:00
223,77,2,NULL,2024-03-20,12.5,App,11:33:00
224,77,3,2,2024-01-30,11.5,Cash,17:54:00
225,77,2,2,2024-02-06,4.75,Card,12:16:00
226,78,1,NULL,2024-03-25,17.25,App,15:05:00
227,79,1,2,2024-02-27,15.75,Cash,13:25:00
228,79,2,NULL,2024-03-15,12.5,App,12:34:00
229,79,1,NULL,2024-03-05,16.75,Card,08:13:00
230,79,2,2,2024-03-22,16.25,Cash,15:59:00
231,79,3,NULL,2024-03-01,15.25,Cash,10:50:00
232,80,3,1,2024-02-03,7.75,Cash,17:25:00
233,80,3,NULL,2024-03-01,3,Cash,08:14:00
234,81,3,1,2024-03-16,16.25,App,12:21:00
235,82,2,NULL,2024-03-31,9.5,Card,07:57:00
236,82,1,NULL,2024-03-27,2.75,App,15:33:00
237,83,3,NULL,2024-02-26,4.5,Cash,14:17:00
238,84,3,2,2024-03-12,18.75,Card,13:22:00
239,85,3,NULL,2024-03-14,14.75,App,14:08:00
240,85,3,NULL,2024-03-16,20.75,App,14:52:00
241,87,3,1,2024-03-08,18.25,Card,13:40:00
242,87,1,2,2024-03-31,11.25,App,13:05:00
243,88,3,NULL,2024-03-07,7,Cash,07:45:00
244,89,2,NULL,2024-01-16,17.5,App,10:05:00
245,89,1,1,2024-01-16,10.5,Card,16:59:00
246,92,2,1,2024-02-07,2.75,Cash,13:32:00
247,92,2,NULL,2024-03-26,17,Card,13:26:00
248,93,2,NULL,2024-03-23,4.25,App,10:06:00
249,93,3,NULL,2024-03-13,3.25,Card,10:52:00
250,93,2,2,2024-03-03,8,App,17:14:00
251,93,2,NULL,2024-03-21,13,App,13:14:00
252,94,1,1,2024-03-30,14.75,Card,08:39:00
253,95,2,NULL,2024-03-12,17.75,App,07:08:00
254,95,3,NULL,2024-01-21,4.25,App,14:09:00
255,96,1,2,2024-03-16,12,Card,09:01:00
256,96,3,2,2024-02-01,22.75,Card,08:27:00
257,96,2,2,2024-03-23,16.75,Card,07:47:00
258,96,2,NULL,2024-02-06,4.5,Cash,13:53:00
259,97,3,2,2024-03-10,11,Card,16:58:00
260,97,2,2,2024-03-05,15.5,App,13:59:00
261,97,1,1,2024-03-24,18,Card,10:30:00
262,100,2,NULL,2024-03-21,7.75,App,09:25:00
263,100,2,1,2024-03-24,3.25,Card,10:32:00
264,100,3,NULL,2024-03-20,22.5,App,14:05:00
265,100,1,NULL,2024-03-31,22.5,App,09:07:00
266,101,1,2,2024-03-20,13.5,Card,09:17:00
267,101,3,1,2024-03-09,17.5,Card,10:00:00
268,102,2,1,2024-03-31,10.5,App,11:17:00
269,102,3,NULL,2024-03-10,14,Cash,10:04:00
270,103,2,2,2024-02-20,17.25,App,17:29:00
271,103,1,2,2024-03-30,6,Card,13:49:00
272,103,2,1,2024-02-28,11.25,Card,16:19:00
273,104,2,NULL,2024-01-09,10.25,Cash,13:39:00
274,104,3,1,2024-01-29,3.25,App,07:40:00
275,105,3,NULL,2024-03-18,16.5,Card,07:17:00
276,105,3,1,2024-03-13,9.25,App,14:41:00
277,106,1,NULL,2024-02-27,17.25,App,14:36:00
278,108,2,NULL,2024-01-19,4.25,Cash,12:12:00
279,108,3,1,2024-02-19,19,Card,12:07:00
280,108,2,NULL,2024-03-27,11.5,App,10:56:00
281,109,3,2,2024-03-04,2.75,App,07:14:00
282,109,1,1,2024-02-23,12,App,16:45:00
283,110,2,NULL,2024-03-09,2.75,App,14:39:00
284,110,1,NULL,2024-03-01,2.75,App,07:02:00
285,110,1,1,2024-02-24,12.75,Cash,09:33:00
286,110,3,2,2024-03-07,4,Cash,14:31:00
287,110,1,NULL,2024-03-21,4.25,Cash,11:39:00
288,110,3,NULL,2024-03-10,8.5,Card,10:26:00
289,110,1,2,2024-01-28,4.25,App,11:29:00
290,110,2,1,2024-01-20,4.5,App,15:05:00
291,112,2,2,2024-03-24,12.25,Cash,16:37:00
292,114,3,NULL,2024-03-31,2.75,App,16:57:00
293,115,3,NULL,2024-03-30,13,Cash,14:42:00
294,115,2,NULL,2024-03-30,10.25,Card,08:55:00
295,115,3,1,2024-03-30,17,Card,14:24:00
296,115,1,NULL,2024-03-30,22.5,Card,12:16:00
297,116,2,2,2024-03-27,8.5,Card,14:59:00
298,116,3,NULL,2024-02-07,4.25,Cash,10:58:00
299,117,3,NULL,2024-03-28,13,Cash,17:26:00
300,118,2,NULL,2024-03-30,8.5,Cash,09:15:00
301,118,1,1,2024-03-31,18,Card,18:19:00
302,119,3,1,2024-03-31,15.25,Cash,07:29:00
303,119,3,2,2024-02-27,9.75,App,16:50:00
304,120,2,2,2024-03-09,4.25,Cash,07:04:00
305,120,3,1,2024-03-28,12.25,Card,12:29:00
306,120,3,NULL,2024-02-20,3,App,09:03:00
307,120,3,2,2024-03-15,10,Card,08:59:00
308,120,3,2,2024-02-20,6,App,08:17:00
309,120,3,1,2024-02-16,13.5,App,14:48:00
310,120,1,1,2024-03-15,5.25,Cash,12:15:00
311,121,3,2,2024-02-27,9,Card,10:56:00
312,121,3,2,2024-02-25,14.75,App,15:23:00
313,121,1,1,2024-03-04,8.25,Cash,11:06:00
314,121,2,2,2024-03-17,3,Cash,08:48:00
315,121,1,1,2024-03-13,16.5,App,11:47:00
316,121,2,2,2024-02-27,16.25,App,07:59:00
317,121,2,2,2024-03-06,15.75,Card,17:48:00
318,121,3,2,2024-02-11,9.75,Card,13:51:00
319,121,3,NULL,2024-03-31,8.5,Cash,17:59:00
320,121,3,NULL,2024-03-17,6,App,07:14:00
321,122,2,NULL,2024-03-28,15.5,Card,10:53:00
322,122,3,NULL,2024-03-30,4.75,Card,10:20:00
323,122,1,1,2024-03-20,10.25,Card,10:46:00
324,122,3,NULL,2024-03-31,16.25,App,15:11:00
325,123,2,NULL,2024-03-31,18,Card,13:25:00
326,123,3,1,2024-03-25,9.25,App,15:23:00
327,123,3,NULL,2024-03-24,15,Card,08:37:00
328,123,3,2,2024-03-14,9.25,App,09:13:00
329,124,1,NULL,2024-03-17,6.5,App,12:40:00
330,124,1,NULL,2024-03-23,16,App,08:15:00
331,125,2,1,2024-01-28,3.25,Cash,12:43:00
332,125,2,NULL,2024-01-18,4,Cash,14:43:00
333,125,3,1,2024-03-04,6,Cash,14:48:00
334,125,3,NULL,2024-03-02,14,Card,07:20:00
335,126,3,1,2024-03-24,16.25,Cash,17:05:00
336,127,2,2,2024-02-19,9.75,App,16:10:00
337,127,2,1,2024-03-24,12,Cash,08:14:00
338,127,2,NULL,2024-02-22,5.25,App,13:57:00
339,127,2,NULL,2024-03-20,6.25,Cash,07:16:00
340,127,1,2,2024-02-08,4.5,Cash,13:57:00
341,127,1,NULL,2024-02-25,3.25,Cash,11:03:00
342,127,3,1,2024-03-09,4.25,App,14:08:00
343,128,1,1,2024-02-26,7.75,App,07:58:00
344,128,3,NULL,2024-03-21,5.75,App,13:41:00
345,128,3,NULL,2024-03-08,4,Card,12:07:00
346,128,2,2,2024-03-16,20,App,07:39:00
347,129,3,1,2024-03-30,14,Cash,07:34:00
348,130,3,1,2024-02-14,10.25,Card,08:20:00
349,130,3,1,2024-01-16,15.5,Card,17:10:00
350,130,3,1,2024-03-31,19.75,App,07:47:00
351,130,2,2,2024-03-19,6.5,Cash,16:06:00
352,130,2,2,2024-01-17,8,Card,12:17:00
353,130,2,NULL,2024-02-15,13.75,App,17:46:00
354,130,3,1,2024-02-13,7,App,07:40:00
355,131,2,1,2024-03-26,11.75,Card,14:55:00
356,131,1,NULL,2024-03-31,15.75,Card,10:48:00
357,131,3,NULL,2024-03-26,4.5,Cash,13:19:00
358,131,3,2,2024-03-23,7,App,09:37:00
359,131,2,1,2024-03-23,19.5,Cash,12:03:00
360,131,2,NULL,2024-03-29,10,Cash,09:37:00
361,131,2,NULL,2024-03-28,14,App,08:04:00
362,132,2,NULL,2024-03-23,5.25,Cash,13:13:00
363,132,3,1,2024-03-16,13,Card,07:01:00
364,132,2,1,2024-03-24,14.5,Card,12:33:00
365,132,2,2,2024-03-22,10,Card,15:58:00
366,132,1,NULL,2024-03-19,8.5,App,16:24:00
367,132,3,2,2024-03-09,8.5,Cash,15:16:00
368,132,1,2,2024-03-20,21,Card,15:24:00
369,132,2,NULL,2024-03-21,17,Cash,11:49:00
370,132,2,NULL,2024-03-10,12.25,App,09:41:00
371,133,1,NULL,2024-03-28,14.75,Cash,10:09:00
372,133,3,NULL,2024-03-30,12.5,App,09:40:00
373,133,3,NULL,2024-03-29,19.5,Cash,17:02:00
374,134,2,2,2024-03-30,4.5,Cash,08:36:00
375,134,2,1,2024-01-27,12.75,Card,07:57:00
376,134,2,2,2024-03-14,18.25,Cash,08:01:00
377,134,1,NULL,2024-02-21,9.25,Card,13:08:00
378,134,3,NULL,2024-03-24,7.5,App,13:17:00
379,134,1,2,2024-01-22,3,Card,12:36:00
380,134,2,NULL,2024-03-26,4,App,10:26:00
381,134,1,2,2024-03-12,14.5,Card,15:47:00
382,134,3,NULL,2024-02-24,6,Card,12:09:00
383,135,2,1,2024-03-20,20.25,App,09:58:00
384,135,2,2,2024-03-26,16.25,App,16:30:00
385,135,1,1,2024-03-08,11.5,Cash,16:46:00
386,137,2,NULL,2024-03-20,16.75,Cash,07:14:00
387,137,3,NULL,2024-03-18,15.5,Card,11:03:00
388,138,3,2,2024-02-27,17,App,10:45:00
389,138,1,1,2024-03-21,14.25,App,14:23:00
390,140,3,2,2024-02-10,16.5,Cash,11:28:00
391,142,1,1,2024-03-04,13.75,Card,13:05:00
392,142,1,NULL,2024-03-14,15.25,Card,12:56:00
393,143,2,NULL,2024-03-07,11.75,App,08:14:00
394,143,2,2,2024-02-25,9.25,Card,13:16:00
395,143,1,NULL,2024-03-08,20,Card,13:39:00
396,143,3,NULL,2024-03-15,14.25,Card,13:30:00
397,144,3,NULL,2024-03-13,15.75,App,08:50:00
398,146,1,2,2024-02-27,11.25,App,12:36:00
399,146,1,NULL,2024-03-21,3,Cash,12:38:00
400,146,3,NULL,2024-03-21,14,Cash,08:40:00
401,146,1,1,2024-03-17,3,App,13:54:00
402,146,3,NULL,2024-03-10,11.75,Card,08:03:00
403,147,2,NULL,2024-03-28,3.25,Cash,12:35:00
404,147,3,1,2024-02-29,6.5,Card,09:48:00
405,148,3,NULL,2024-03-29,9.75,Cash,10:37:00
406,148,3,1,2024-03-27,11.5,Cash,07:23:00
407,148,2,1,2024-03-26,16.5,Cash,16:15:00
408,150,3,1,2024-03-18,7,Card,09:39:00
409,150,1,2,2024-03-20,8.75,App,17:49:00
410,150,2,1,2024-03-14,4.5,App,10:01:00
411,150,1,NULL,2024-02-18,5.25,Card,16:26:00
412,150,2,NULL,2024-02-22,4.75,Card,11:59:00
413,150,3,1,2024-03-20,2.75,Cash,14:29:00
414,150,3,NULL,2024-03-04,5.25,App,11:34:00
415,150,1,NULL,2024-03-30,13,Cash,13:48:00
416,151,2,NULL,2024-03-29,4,App,15:43:00
417,153,3,2,2024-03-21,12.25,Card,11:57:00
418,153,1,NULL,2024-03-27,18.5,App,17:57:00
419,153,3,NULL,2024-03-28,11.25,Cash,14:45:00
420,153,3,NULL,2024-03-24,15.25,Cash,14:33:00
421,154,2,1,2024-03-31,11.75,App,07:05:00
422,154,2,1,2024-03-31,16.25,App,20:31:00
423,154,3,1,2024-03-31,7,Card,13:23:00
424,154,2,1,2024-03-31,8,Card,12:24:00
425,154,3,NULL,2024-03-31,3,Cash,10:39:00
426,154,2,NULL,2024-03-31,12.75,Card,13:33:00
427,154,2,NULL,2024-03-31,17.25,Cash,11:28:00
428,155,3,NULL,2024-03-28,11,App,13:33:00
429,155,1,1,2024-03-26,17.75,Cash,14:57:00
430,156,3,NULL,2024-03-27,12.75,Cash,17:55:00
431,156,3,1,2024-03-04,7.25,Card,09:31:00
432,156,3,2,2024-03-17,5.25,Cash,14:32:00
433,156,2,NULL,2024-02-22,7.25,Cash,15:45:00
434,156,3,NULL,2024-02-27,18.75,App,11:49:00
435,156,3,NULL,2024-02-23,22,Card,13:17:00
436,156,3,NULL,2024-03-15,8.5,Card,17:53:00
437,156,2,NULL,2024-03-27,3.25,Cash,11:37:00
438,156,2,NULL,2024-02-22,10.5,Cash,20:36:00
439,157,3,NULL,2024-03-10,16.25,Cash,10:27:00
440,157,3,NULL,2024-03-01,5.25,Card,11:01:00
441,158,1,NULL,2024-02-24,16,Cash,08:51:00
442,158,1,NULL,2024-02-29,14,App,07:46:00
443,158,3,NULL,2024-02-22,3.25,Cash,17:59:00
444,158,3,NULL,2024-03-24,11.25,App,12:35:00
445,158,3,1,2024-02-16,6.5,App,13:57:00
446,159,2,1,2024-03-11,11.5,App,09:00:00
447,160,1,NULL,2024-03-25,18.25,Cash,14:14:00
448,160,1,2,2024-03-11,3,Card,12:39:00
449,160,3,1,2024-03-19,13.25,Cash,14:15:00
450,160,2,1,2024-03-24,11,App,15:03:00
451,160,3,2,2024-03-10,7,Cash,13:11:00
452,160,1,1,2024-03-20,19,Card,15:35:00
453,160,2,NULL,2024-03-18,18,Card,14:08:00
454,160,1,NULL,2024-03-13,8.25,App,07:02:00
455,160,2,NULL,2024-03-13,18.5,Card,07:58:00
456,161,2,NULL,2024-02-27,10.5,Card,13:34:00
457,161,3,1,2024-03-11,9.75,App,16:59:00
458,161,1,1,2024-02-25,10,Card,10:30:00
459,161,3,1,2024-03-01,6.5,Card,09:34:00
460,162,3,1,2024-03-30,9.75,App,09:46:00
461,162,1,NULL,2024-03-30,6.25,Card,15:02:00
462,163,2,NULL,2024-03-15,8.75,Card,08:18:00
463,164,3,1,2024-03-29,14.75,Cash,15:29:00
464,164,3,1,2024-03-04,21.25,Cash,12:21:00
465,164,3,NULL,2024-02-24,6.5,App,15:29:00
466,164,1,2,2024-02-18,7,Card,08:31:00
467,164,3,NULL,2024-02-11,10.5,App,07:35:00
468,164,2,2,2024-02-12,7.25,Cash,08:33:00
469,164,1,NULL,2024-03-04,22.5,App,10:30:00
470,165,3,2,2024-03-31,16.5,Card,08:11:00
471,165,3,NULL,2024-03-26,15.5,App,10:49:00
472,166,1,2,2024-02-03,14.75,App,16:50:00
473,167,3,NULL,2024-03-19,7.5,Cash,12:48:00
474,167,1,NULL,2024-02-26,3.25,Card,17:32:00
475,168,2,NULL,2024-03-25,4.25,App,07:26:00
476,168,1,1,2024-03-01,6.5,App,14:16:00
477,169,1,2,2024-03-03,10,App,07:03:00
478,169,2,2,2024-03-15,17,Cash,14:05:00
479,169,3,NULL,2024-02-03,4.25,Cash,15:28:00
480,169,1,1,2024-01-25,4.25,App,16:02:00
481,170,3,1,2024-03-31,3,Cash,07:21:00
482,170,2,NULL,2024-03-28,14.25,Card,08:20:00
483,170,1,1,2024-03-31,4.5,Cash,11:25:00
484,170,2,2,2024-03-29,3.25,Cash,09:03:00
485,170,1,2,2024-03-31,8.5,Cash,17:47:00
486,170,3,NULL,2024-03-29,7.75,Cash,13:24:00
487,170,3,NULL,2024-03-28,16.75,App,08:58:00
488,170,2,1,2024-03-29,9.5,App,17:32:00
